"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","FREQUENCY","SCALE","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"IMF.RES:WEO(9.0.0)","SLE.LP.A","OBS_VALUE","Sierra Leone","Population, Persons for countries / Index for country groups","Annual","Millions","4.585","4.754","4.971","5.178","5.356","5.502","5.624","5.749","5.895","6.056","6.223","6.387","6.551","6.714","6.876","7.038","7.205","7.379","7.555","7.732","7.913","8.095","8.277","8.461","8.642"
"IMF.RES:WEO(9.0.0)","TON.LP.A","OBS_VALUE","Tonga","Population, Persons for countries / Index for country groups","Annual","Millions","0.099","0.100","0.100","0.100","0.101","0.101","0.102","0.102","0.102","0.103","0.103","0.103","0.103","0.102","0.102","0.101","0.101","0.101","0.100","0.100","0.100","0.100","0.100","0.100","0.099"
"IMF.RES:WEO(9.0.0)","SVK.NGDP_R.A","OBS_VALUE","Slovak Republic","Gross domestic product (GDP), Constant prices, Domestic currency","Annual","Billions","47.159","48.538","50.682","53.144","56.008","59.640","64.963","71.992","75.853","71.677","76.544","78.506","79.738","80.298","82.473","86.742","88.432","90.974","94.669","96.824","94.321","99.697","100.133","102.304","104.413"
"IMF.RES:WEO(9.0.0)","MNE.LP.A","OBS_VALUE","Montenegro","Population, Persons for countries / Index for country groups","Annual","Millions","0.605","0.607","0.610","0.612","0.613","0.614","0.615","0.616","0.617","0.618","0.619","0.620","0.621","0.623","0.624","0.625","0.625","0.626","0.626","0.627","0.627","0.625","0.624","0.624","0.624"
"IMF.RES:WEO(9.0.0)","SRB.LP.A","OBS_VALUE","Serbia, Republic of","Population, Persons for countries / Index for country groups","Annual","Millions","7.516","7.503","7.500","7.481","7.463","7.441","7.412","7.382","7.350","7.321","7.291","7.237","7.201","7.167","7.132","7.095","7.058","7.021","6.983","6.945","6.899","6.834","6.664","6.623","6.576"
"IMF.RES:WEO(9.0.0)","GBR.BCA_NGDPD.A","OBS_VALUE","United Kingdom","Current account balance (credit less debit), Percent of GDP","Annual","Units","-1.831","-1.773","-1.973","-1.823","-2.302","-1.998","-3.120","-3.729","-3.862","-3.068","-2.761","-1.630","-3.146","-4.644","-5.022","-4.948","-5.448","-3.493","-3.927","-2.688","-2.934","-0.437","-2.102","-3.509","-2.656"
"IMF.RES:WEO(9.0.0)","G119.BF.A","OBS_VALUE","G7","Financial account balance (assets less liabilities), US dollar","Annual","Billions","-379.390","-314.273","-444.127","-482.085","-280.395","-552.184","-678.352","-336.385","-630.749","-132.903","-364.511","-486.313","-401.644","-290.526","-53.704","-134.344","32.200","-8.020","61.029","-179.675","-459.351","-384.042","-802.029","-818.921","-730.019"
"IMF.RES:WEO(9.0.0)","USA.LP.A","OBS_VALUE","United States","Population, Persons for countries / Index for country groups","Annual","Millions","282.296","285.216","288.019","290.733","293.389","296.115","298.930","301.903","304.718","307.374","309.737","311.944","314.167","316.331","318.619","320.926","323.221","325.280","327.023","328.547","331.307","332.453","334.273","337.014","340.102"
"IMF.RES:WEO(9.0.0)","G119.GGXCNL_NGDP.A","OBS_VALUE","G7","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","","-2.002","-4.133","-4.715","-3.961","-3.252","-2.207","-2.231","-4.499","-9.825","-8.787","-7.359","-6.444","-4.336","-3.610","-3.016","-3.323","-3.355","-3.364","-3.801","-11.716","-8.871","-3.716","-6.135","-6.188"
"IMF.RES:WEO(9.0.0)","G119.NGDP_D.A","OBS_VALUE","G7","Gross domestic product (GDP), Price deflator, Index","Annual","Units","91.983","93.471","94.706","96.165","98.010","100.000","102.017","104.136","105.903","106.549","107.383","108.889","110.334","111.836","113.607","114.845","115.967","117.560","119.594","121.410","123.545","127.412","134.536","140.508","144.283"
"IMF.RES:WEO(9.0.0)","USA.GGX_NGDP.A","OBS_VALUE","United States","Expenditure, General government, Percent of GDP","Annual","Units","","32.801","33.698","34.037","33.719","33.928","33.692","34.562","37.144","41.399","39.763","38.796","37.223","35.782","35.324","35.031","35.333","35.194","35.349","35.819","44.722","43.201","36.790","37.650","37.918"
"IMF.RES:WEO(9.0.0)","AUT.BCA_NGDPD.A","OBS_VALUE","Austria","Current account balance (credit less debit), Percent of GDP","Annual","Units","-0.710","-0.800","2.118","1.557","2.092","2.274","3.318","3.826","4.520","2.613","2.873","1.641","1.492","1.748","2.397","1.577","2.574","1.264","0.846","2.376","3.367","1.735","-0.862","1.341","2.409"
"IMF.RES:WEO(9.0.0)","USA.GGXWDN.A","OBS_VALUE","United States","Net debt, General government, Domestic currency","Annual","Billions","","3645.179","4008.200","4446.831","5787.847","5991.418","6132.015","6375.362","7425.784","8884.162","10215.416","11578.792","12713.853","13353.564","14045.283","14651.041","15245.204","15538.953","16518.331","17587.551","20547.574","22750.765","23964.929","26274.591","28535.496"
"IMF.RES:WEO(9.0.0)","G119.GGR_NGDP.A","OBS_VALUE","G7","Revenue, General government, Percent of GDP","Annual","Units","","35.060","33.705","33.787","34.143","34.930","35.700","36.101","35.681","34.277","34.115","34.757","34.854","36.311","36.507","36.286","35.985","35.785","35.803","35.555","36.036","37.042","37.562","35.399","35.516"
"IMF.RES:WEO(9.0.0)","G119.PPPPC.A","OBS_VALUE","G7","Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","Annual","Units","32012.711","32943.335","33630.978","34726.672","36472.609","38345.667","40325.131","42029.071","42567.707","41016.020","42497.151","43855.197","45061.855","46321.933","47809.329","49053.761","50050.480","51951.350","54013.465","56403.999","55308.052","60753.460","66531.885","69803.757","72267.969"
"IMF.RES:WEO(9.0.0)","G119.BCA_NGDPD.A","OBS_VALUE","G7","Current account balance (credit less debit), Percent of GDP","Annual","Units","-1.361","-1.376","-1.408","-1.481","-1.296","-1.706","-1.860","-1.339","-1.607","-0.633","-0.674","-0.750","-0.877","-0.621","-0.633","-0.512","-0.123","0.090","-0.103","0.039","-0.738","-0.740","-1.992","-1.434","-1.629"
"IMF.RES:WEO(9.0.0)","GBR.BCA.A","OBS_VALUE","United Kingdom","Current account balance (credit less debit), US dollar","Annual","Billions","-30.557","-29.263","-35.297","-37.489","-55.765","-50.868","-84.629","-115.284","-114.329","-74.294","-68.681","-43.443","-85.168","-129.421","-153.981","-144.899","-147.036","-93.708","-112.902","-76.688","-79.182","-13.738","-65.683","-118.276","-96.810"
"IMF.RES:WEO(9.0.0)","GBR.GGXWDN.A","OBS_VALUE","United Kingdom","Net debt, General government, Domestic currency","Annual","Billions","349.544","350.081","373.127","414.761","474.856","518.699","554.641","588.185","717.477","901.762","1106.159","1217.106","1302.932","1373.011","1469.532","1520.619","1569.936","1608.185","1647.894","1692.657","1958.839","2094.559","2268.998","2488.444","2670.922"
"IMF.RES:WEO(9.0.0)","G119.LE.A","OBS_VALUE","G7","Employed persons, Persons for countries / Index for country groups","Annual","Units","97.556","97.897","97.768","98.165","98.880","100.000","101.441","102.653","102.869","100.550","100.207","100.804","101.767","102.507","103.698","104.895","106.466","107.713","109.231","110.348","106.556","108.671","111.425","113.011","113.612"
"IMF.RES:WEO(9.0.0)","GBR.GGX.A","OBS_VALUE","United Kingdom","Expenditure, General government, Domestic currency","Annual","Billions","373.546","397.252","428.220","468.267","503.098","537.664","565.480","597.060","652.702","691.209","719.097","723.276","746.373","745.321","767.062","774.726","789.332","815.393","836.626","865.939","1051.463","1045.648","1114.117","1215.406","1255.571"
"IMF.RES:WEO(9.0.0)","GBR.NGDPRPC.A","OBS_VALUE","United Kingdom","Gross domestic product (GDP), Constant prices, Per capita, Domestic currency","Annual","Units","30508.100","31172.838","31597.362","32445.311","33069.224","33712.529","34280.205","34897.748","34526.575","32700.117","33164.611","33263.886","33543.223","33933.376","34751.258","35243.849","35626.752","36356.087","36647.209","37041.259","33086.478","35953.436","37375.407","37156.083","37043.444"
"IMF.RES:WEO(9.0.0)","USA.GGXWDG_NGDP.A","OBS_VALUE","United States","Gross debt, General government, Percent of GDP","Annual","Units","","53.485","55.859","58.956","66.439","65.778","64.531","64.948","73.845","87.070","95.644","100.020","103.659","105.003","104.930","105.424","107.380","106.374","107.625","108.751","132.513","125.009","119.104","119.836","122.322"
"IMF.RES:WEO(9.0.0)","GBR.GGX_NGDP.A","OBS_VALUE","United Kingdom","Expenditure, General government, Percent of GDP","Annual","Units","33.936","34.660","35.941","37.213","38.037","38.439","38.415","38.654","40.958","44.629","44.705","43.503","43.553","41.840","41.184","40.425","39.632","39.155","38.871","38.763","49.987","45.753","44.099","44.829","44.040"
"IMF.RES:WEO(9.0.0)","G110.NGDP_RPCH.A","OBS_VALUE","Advanced Economies","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","4.158","1.577","1.639","2.025","3.251","2.833","3.085","2.755","0.314","-3.365","3.107","1.764","1.152","1.492","2.107","2.393","1.826","2.595","2.286","1.870","-3.928","6.033","2.980","1.727","1.827"
"IMF.RES:WEO(9.0.0)","G001.PTIMBW.A","OBS_VALUE","World","Timber, Commodity price index","Annual","Units","84.903","76.935","76.117","80.254","89.381","93.989","102.161","101.996","105.057","99.866","101.004","109.825","107.365","106.854","108.376","101.735","100.000","97.832","103.809","102.074","102.779","107.654","110.927","95.822","94.878"
"IMF.RES:WEO(9.0.0)","G001.POILAPSP.A","OBS_VALUE","World","APSP crude oil, Unit prices, US dollars per barrel","Annual","Units","28.471","24.490","25.001","28.909","37.807","53.506","64.402","71.189","96.767","61.501","79.144","104.069","105.097","104.172","96.326","50.912","43.264","52.978","68.533","61.432","41.765","69.250","96.362","80.595","79.171"
"IMF.RES:WEO(9.0.0)","G110.GGXWDG_NGDP.A","OBS_VALUE","Advanced Economies","Gross debt, General government, Percent of GDP","Annual","Units","","70.273","71.312","73.425","76.799","76.269","73.547","71.231","77.935","91.158","97.515","101.453","105.725","104.187","103.694","103.292","105.633","103.230","102.746","103.814","122.160","115.620","109.327","108.513","109.053"
"IMF.RES:WEO(9.0.0)","G001.PSUGAUSA.A","OBS_VALUE","World","Sugar, No. 16, US, Import price, US cents per pound","Annual","Units","19.396","21.338","20.941","21.500","20.571","21.068","22.119","20.763","21.323","24.336","31.051","37.572","28.895","21.215","24.862","24.828","27.632","27.908","25.340","26.118","26.956","33.645","35.735","40.567","38.222"
"IMF.RES:WEO(9.0.0)","G001.POILBRE.A","OBS_VALUE","World","Brent crude, Unit prices, US dollars per barrel","Annual","Units","28.845","24.714","25.115","28.779","38.234","54.684","65.605","72.653","97.330","61.581","79.807","111.539","112.012","108.962","99.345","53.023","45.079","54.887","71.613","64.198","43.334","70.831","98.996","82.321","79.912"
"IMF.RES:WEO(9.0.0)","G001.PCOALSA.A","OBS_VALUE","World","Coal, South Africa, Export price, US dollars per metric tonne","Annual","Units","26.570","33.864","26.011","30.076","54.684","45.953","50.583","62.315","120.741","64.559","91.658","116.173","92.924","80.324","72.303","57.097","64.419","84.486","97.925","71.265","65.223","125.247","271.097","120.554","105.368"
"IMF.RES:WEO(9.0.0)","G001.PNRGW.A","OBS_VALUE","World","Energy, Commodity price index","Annual","Units","73.621","66.356","62.519","77.435","98.085","135.578","153.202","168.027","232.557","142.772","178.527","231.512","228.121","225.880","212.321","118.982","100.000","123.301","156.535","129.285","91.705","183.089","299.511","189.505","179.504"
"IMF.RES:WEO(9.0.0)","G110.PCPIPCH.A","OBS_VALUE","Advanced Economies","All Items, Consumer price index (CPI), Period average, percent change","Annual","Units","2.256","2.184","1.574","1.856","2.031","2.333","2.363","2.194","3.449","0.189","1.552","2.707","2.006","1.382","1.352","0.306","0.747","1.707","1.959","1.399","0.681","3.100","7.311","4.625","2.622"
"IMF.RES:WEO(9.0.0)","G110.TXGM_D.A","OBS_VALUE","Advanced Economies","Exports of manufactures, Price deflator, Free on board (FOB), Index","Annual","Units","92.626","89.484","87.727","90.235","96.117","100.000","102.164","105.555","111.916","109.862","112.140","117.226","120.048","116.593","115.957","112.403","106.769","106.908","109.082","109.515","106.043","113.150","124.858","122.714","124.252"
"IMF.RES:WEO(9.0.0)","G001.PNGASJP.A","OBS_VALUE","World","LNG, Asia, Unit prices, US dollars per million metric British thermal units of gas","Annual","Units","5.235","4.669","4.427","4.981","5.891","7.033","8.049","8.411","11.591","7.491","9.381","15.553","18.145","17.339","16.998","10.958","7.439","7.247","9.795","5.445","4.366","18.600","33.297","13.464","11.709"
"IMF.RES:WEO(9.0.0)","G110.BFP.A","OBS_VALUE","Advanced Economies","Portfolio investment, Net (assets minus liabilities), US dollar","Annual","Billions","-228.031","-18.030","-436.777","-462.657","-790.443","-735.665","-785.804","-1064.600","-1647.796","-555.116","-954.606","-1130.017","-282.863","-525.058","17.136","220.524","525.295","23.995","502.960","61.057","121.872","274.383","-763.063","-415.767","-352.834"
"IMF.RES:WEO(9.0.0)","G001.PTIN.A","OBS_VALUE","World","Tin, Unit prices, US dollars per metric tonne","Annual","Units","5435.903","4489.436","4060.996","4889.586","8480.938","7385.248","8754.903","14495.443","18466.644","13599.285","20367.249","26051.450","21109.356","22281.583","21898.874","16066.632","17933.762","20061.169","20145.206","18661.157","17125.459","32387.289","31383.287","25912.246","30059.334"
"IMF.RES:WEO(9.0.0)","G110.BFRA.A","OBS_VALUE","Advanced Economies","Change in reserve assets, Net (assets minus liabilities), US dollar","Annual","Billions","84.316","64.538","142.121","260.945","249.749","67.950","125.446","95.694","78.999","425.230","355.888","354.437","258.935","154.377","130.930","208.575","191.455","249.134","131.213","69.933","360.517","635.334","-210.791","-42.507","23.688"
"IMF.RES:WEO(9.0.0)","G001.NGDP_RPCHMK.A","OBS_VALUE","World","Gross domestic product (GDP), Constant prices, Percent","Annual","Units","4.272","1.724","1.918","2.797","4.040","3.568","3.950","3.820","1.586","-2.007","4.181","3.080","2.490","2.677","2.922","2.889","2.614","3.358","3.198","2.620","-3.020","6.445","3.339","2.912","2.829"
"IMF.RES:WEO(9.0.0)","G110.GGSB_NPGDP.A","OBS_VALUE","Advanced Economies","Structural balance, General government, Percent","Annual","Units","","-2.294","-3.462","-3.800","-3.603","-2.847","-2.340","-2.676","-4.162","-5.924","-6.689","-5.632","-4.409","-3.153","-2.543","-2.179","-2.344","-2.392","-2.474","-3.156","-7.514","-6.679","-4.405","-5.002","-4.935"
"IMF.RES:WEO(9.0.0)","G110.GGXONLB_NGDP.A","OBS_VALUE","Advanced Economies","Primary net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","","0.591","-1.405","-2.050","-1.423","-0.660","0.283","0.435","-1.816","-6.990","-5.953","-4.401","-3.689","-2.089","-1.472","-1.085","-1.132","-1.007","-0.939","-1.547","-9.029","-5.936","-1.102","-3.014","-2.927"
"IMF.RES:WEO(9.0.0)","G001.PCOPP.A","OBS_VALUE","World","Copper, Unit prices, US dollars per metric tonne","Annual","Units","1814.524","1580.169","1560.290","1779.362","2863.469","3676.495","6731.352","7131.630","6963.482","5164.159","7538.362","8823.454","7958.925","7331.491","6863.397","5510.457","4867.897","6169.940","6529.798","6010.145","6174.558","9317.409","8828.917","8490.762","9142.102"
"IMF.RES:WEO(9.0.0)","G001.PORANG.A","OBS_VALUE","World","Orange, Import price, US dollars per metric tonne","Annual","Units","0.794","0.805","0.944","0.804","0.678","0.990","1.625","1.569","1.065","0.921","1.449","1.759","1.396","1.344","1.479","1.276","1.683","1.538","1.493","1.055","1.142","1.232","1.751","3.009","4.317"
"IMF.RES:WEO(9.0.0)","G001.PVOILW.A","OBS_VALUE","World","Vegetable oil, Commodity price index","Annual","Units","47.951","46.508","55.776","67.123","77.926","72.695","72.695","97.095","135.146","102.638","113.263","142.574","143.143","132.139","118.861","95.706","100.000","101.160","95.446","90.543","99.518","151.435","171.893","140.289","128.225"
"IMF.RES:WEO(9.0.0)","G110.BFD.A","OBS_VALUE","Advanced Economies","Direct investment, Net (assets minus liabilities), US dollar","Annual","Billions","-44.579","85.058","61.182","154.434","404.610","135.479","298.523","542.014","663.330","384.540","371.408","356.936","187.891","181.331","270.010","-62.105","-210.068","231.831","-117.005","1.007","48.700","678.852","484.822","324.882","436.596"
"IMF.RES:WEO(9.0.0)","G110.NGAP_NPGDP.A","OBS_VALUE","Advanced Economies","Output gap, Percent of potential GDP","Annual","Units","1.900","0.671","-0.241","-0.672","0.120","0.560","1.591","2.516","1.369","-3.310","-1.666","-1.405","-1.732","-1.989","-1.551","-1.270","-1.210","-0.504","0.036","0.188","-3.866","-0.573","0.443","0.142","0.075"
"IMF.RES:WEO(9.0.0)","G001.PCPIEPCH.A","OBS_VALUE","World","All Items, Consumer price index (CPI), End-of-period (EoP), percent change","Annual","Units","4.995","4.009","4.134","3.627","4.096","3.898","3.794","5.198","4.615","3.195","4.181","4.705","3.886","3.217","2.834","2.817","2.985","3.360","3.619","3.896","2.998","6.310","8.885","6.148","4.872"
"IMF.RES:WEO(9.0.0)","G001.PMAIZMT.A","OBS_VALUE","World","Corn, Unit prices, US dollars per metric tonne","Annual","Units","88.219","89.609","99.333","105.245","111.895","98.508","121.647","163.610","223.360","165.628","185.957","291.854","298.438","258.979","192.939","169.845","159.221","154.595","164.511","170.169","165.578","259.395","318.361","251.456","190.462"
"IMF.RES:WEO(9.0.0)","G001.PSOYB.A","OBS_VALUE","World","Soybeans, Unit prices, US dollars per metric tonne","Annual","Units","183.052","168.755","188.866","233.187","276.633","223.150","217.454","317.320","452.943","378.546","384.945","484.246","537.762","517.204","457.814","347.356","362.707","358.824","342.528","327.002","349.877","505.101","569.692","520.477","405.210"
"IMF.RES:WEO(9.0.0)","G110.BM.A","OBS_VALUE","Advanced Economies","Imports of goods and services, US dollar","Annual","Billions","6124.526","5893.063","6088.493","6980.044","8337.029","9301.743","10484.757","11846.090","13249.065","10426.965","12112.390","14142.817","14054.996","14276.028","14617.179","13125.382","12981.896","14139.749","15471.838","15300.680","13855.313","16837.305","19172.606","18735.254","19214.128"
"IMF.RES:WEO(9.0.0)","G110.BCA_NGDPD.A","OBS_VALUE","Advanced Economies","Current account balance (credit less debit), Percent of GDP","Annual","Units","-0.898","-0.880","-0.836","-0.765","-0.623","-1.099","-1.219","-1.003","-1.349","-0.204","0.041","-0.082","0.015","0.487","0.498","0.569","0.819","0.987","0.791","0.716","0.249","0.779","-0.450","-0.027","0.076"
"IMF.RES:WEO(9.0.0)","G001.PGNUTS.A","OBS_VALUE","World","Groundnuts, Unit prices, US dollars per metric tonne","Annual","Units","785.509","753.254","654.928","855.903","910.000","769.105","828.856","1177.468","1567.720","994.615","1239.384","1724.038","1688.178","2318.164","2148.265","1946.212","1798.298","1949.405","2048.378","1846.095","1935.610","2085.855","2426.160","2545.564","2482.246"
"IMF.RES:WEO(9.0.0)","G110.GGR_NGDP.A","OBS_VALUE","Advanced Economies","Revenue, General government, Percent of GDP","Annual","Units","","35.397","34.251","34.487","34.832","35.527","36.188","36.593","36.215","34.847","34.608","35.200","35.319","36.500","36.534","36.107","35.924","35.779","35.862","35.612","35.977","36.954","37.360","35.654","35.806"
"IMF.RES:WEO(9.0.0)","G001.PCPIPCH.A","OBS_VALUE","World","All Items, Consumer price index (CPI), Period average, percent change","Annual","Units","4.975","4.653","3.724","3.899","3.830","3.973","3.955","4.131","6.310","2.653","3.634","4.965","4.023","3.556","3.172","2.734","2.717","3.268","3.659","3.558","3.341","4.714","8.683","6.741","5.786"
"IMF.RES:WEO(9.0.0)","G110.NGDP_D.A","OBS_VALUE","Advanced Economies","Gross domestic product (GDP), Price deflator, Index","Annual","Units","91.191","92.946","94.399","95.987","97.926","100.000","102.124","104.463","106.517","107.295","108.310","109.802","111.190","112.639","114.194","115.600","116.706","118.385","120.402","122.178","124.161","128.214","135.592","141.273","145.329"
"IMF.RES:WEO(9.0.0)","G110.TMG_RPCH.A","OBS_VALUE","Advanced Economies","Imports of goods, Volume, Cost insurance freight (CIF), Percent change","Annual","Units","12.923","-0.787","3.150","5.218","9.601","7.087","8.285","4.982","0.020","-12.966","13.032","5.821","0.611","2.348","3.433","3.623","2.160","4.522","3.911","0.432","-5.953","11.533","5.092","-3.224","1.311"
"IMF.RES:WEO(9.0.0)","G001.NGSD_NGDP.A","OBS_VALUE","World","Gross national savings, Percent of GDP","Annual","Units","24.145","23.386","22.728","22.923","23.826","24.287","25.383","25.524","25.093","23.220","24.849","25.719","25.997","25.982","26.415","26.151","25.807","26.454","26.811","26.809","26.579","27.896","27.801","26.424","26.226"
"IMF.RES:WEO(9.0.0)","G001.PCOTTIND.A","OBS_VALUE","World","Cotton, Unit prices, US cents per pound","Annual","Units","59.048","47.997","46.260","63.445","62.006","55.168","58.052","63.284","71.400","62.752","103.544","154.983","89.241","90.401","83.097","70.417","74.214","83.598","91.379","77.879","71.938","101.185","130.139","95.011","86.648"
"IMF.RES:WEO(9.0.0)","G001.TXG_RPCH.A","OBS_VALUE","World","Exports of goods, Volume, Free on board (FOB), Percent change","Annual","Units","13.154","0.193","4.021","6.137","10.921","7.445","9.343","6.851","2.017","-11.024","13.219","6.589","3.195","3.255","2.903","2.957","2.219","5.175","3.344","0.165","-5.337","10.768","2.831","-0.349","3.038"
"IMF.RES:WEO(9.0.0)","G001.PSALM.A","OBS_VALUE","World","Fish, Export price, US dollars per kilogram","Annual","Units","3.646","2.891","2.937","2.993","3.343","4.063","5.062","4.545","4.848","4.923","6.143","5.957","4.745","6.716","6.600","5.306","7.139","7.444","7.524","6.921","6.100","6.864","8.424","8.957","8.775"
"IMF.RES:WEO(9.0.0)","G110.TTPCH.A","OBS_VALUE","Advanced Economies","Terms of trade of goods and services, percent change","Annual","Units","-2.291","0.277","0.812","1.037","-0.203","-1.218","-1.124","0.469","-2.025","2.634","-0.842","-1.450","-0.540","0.810","0.372","1.790","1.076","-0.222","-0.357","0.061","0.890","1.103","-1.611","0.421","0.931"
"IMF.RES:WEO(9.0.0)","G110.NGDPRPPPPC.A","OBS_VALUE","Advanced Economies","Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021","Annual","Units","46665.188","47115.674","47567.723","48219.905","49470.821","50543.027","51766.455","52833.463","52647.845","50567.234","51842.649","52462.380","52796.209","53337.624","54188.822","55178.774","55899.284","57111.097","58169.286","59021.211","56421.826","59761.818","61219.799","61791.226","62503.028"
"IMF.RES:WEO(9.0.0)","G001.PWOOLF.A","OBS_VALUE","World","Wool, fine, Unit prices, US cents per kilogram","Annual","Units","733.542","623.436","644.408","700.099","716.179","676.923","715.930","972.884","967.946","778.276","1014.388","1637.628","1343.554","1198.126","1075.365","1007.983","1112.991","1434.281","1664.190","1427.544","976.102","1227.592","1154.625","1019.330","926.616"
"IMF.RES:WEO(9.0.0)","G110.GGXCNL_NGDP.A","OBS_VALUE","Advanced Economies","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","","-1.663","-3.481","-3.964","-3.239","-2.409","-1.379","-1.257","-3.496","-8.619","-7.612","-6.203","-5.473","-3.695","-3.079","-2.580","-2.645","-2.458","-2.430","-2.978","-10.273","-7.263","-2.902","-4.880","-4.959"
"IMF.RES:WEO(9.0.0)","G001.PLOGSK.A","OBS_VALUE","World","Hard logs, import price Japan, Import price, US dollars per cubic meter","Annual","Units","190.063","159.876","162.403","187.152","197.256","203.120","239.429","267.981","292.297","287.203","278.172","390.512","360.510","305.434","282.041","246.016","274.377","265.429","269.704","273.103","278.991","271.351","227.990","212.376","196.750"
"IMF.RES:WEO(9.0.0)","G001.PTEA.A","OBS_VALUE","World","Tea, Kenyan, Unit prices, US cents per kilogram","Annual","Units","248.117","198.123","179.188","194.326","198.151","216.379","241.700","211.929","269.506","313.957","316.737","346.161","348.915","265.601","237.858","340.387","287.430","362.201","298.260","268.276","253.933","267.203","277.948","290.216","328.023"
